Age,Arms Position,Body Position,Burial Manner,direction,elevation,Feet position,find date,Findspot,floor,Hands position,head position,Legs position,level,Mortuary Gifts,Museum cat. #,my dating,Original burial #,period,Preservation,Remarks,Sex,square
mature,"right bent at right side at knees, left flexed in front of chest",lateral left,C.T.,,1.45,normal,10132,"below floor L1, depth 1.45",1,"right bent suggested ..?right feumor, left bent towards forehead",lateral left,contracted,1,"1.grey cup jar including...?(4139), 2.fragment of copper vessel below neck perforated with ? (?), 3.two fragments of coper ? or rings held at left hand, lapis lazuli beads? (?),4. copper bracelet around left elbow (4140), 5. lapis laculi beads (4141), 5. earrings? (4142)",,IIIB,CH95x23,III,bad,,female,CH95
assumed adult,,lateral left,C.T. partly disturbed,,1.25,,10132,"ca L1, depth 1.25",1,,lateral left,,1,"1 copper fragment ring below ? (4144), 
2.slightly broken cup jar behind?, handmade 
3. copper bracelet reposse laterally below, ...isside number 2 (4145), 
4. beads inside  the jar(4146). 
5. copper earrings inside jar (5171)",,IIIB,CH95x27,III,bad,,female,CH95
adult,"right flexed in front of the cvhest, left bent foreward","lateral right, disturbed ..?",C.T.,,2.55,"normal, ..? beads at lower fore left",10232,"in L3, depth 2.55",,right cluchted at chin,lateral right,contracred,2,1. grey hemispherical cup rests at right wrist. (4147),,IIIA,CH95x28,IIIA?,bad,,female,CH95
adult,"right flexed straight up, left flexed at chest",dorsal,C.T. ? above x...,Sk 64 w,,right normal at left pelvis,10232,"in L3, depth 2.35",,"right below left, left curved around right wrsit sleeping position?",lateral right,right contracted at belly,2,n/a,33-23-87,?,CH95x29,IIb,bad,bent right leg,male,CH95
juv,left flxed in front of chest,lateral left,C.T. cist curved at rear,,2.90,,10232,"in L 3, depth 2.90",,,lateral left,contracted,2,n/a,,?,CH95x30,II porbably late,bad,,male,CH95
senile?,,lateral right,C.T.,SK 65 W,2.85,,,L3...? depth 2.85,,,lateral right,contracted,,n/a,,?,DH15x1,IIIc,bad,,male,DH15
adult,,,??,,,,,L3...? Depth 2.90,,,,,,1.grey fragmented bowl beside skull (5050),,IIIA,DH15x2,IIIa,bad,,female,DH15
adult,left bent out,ventral,C.T.,,2.92,natural,,depth 2.95,,,lateral left,contracted,,1. grey jar globular rests near occupant (5061),,IIIC1,DH15x33,III,bad,,female,DH15
adult assumed,"right flexed at side, left bent rtowards ight below elbow",ventral,C.T.,SK 35 E,2.95,"left natural, right pulled up",,"L2 lenght, depth 2.95",,"right extends in front of forehead, left extends palms up beyond right arm",turned right,contracted towards right,,n/a,,?,DH15x4,III early,bad,,male,DH15
infant I,right flezed at side,lateral left,C.T.,,3.10,,,"L3 lenght, depth 3.10",,,lateral left,contracted,,n/a,,?,DH15x5,IIb+ IIIa,bad,,,DH15
senile?,"left bent ?, right bent towards knewws",lateral right,C.T.,SK 93 w,3.20,,,"L3 length, Depth 3.20",,right curled up forwards left knee,"lateral rigght, curled up",contracted,,n/a,,?,DH15x6,II late,bad,,female,DH15
young adult ,"right bent across upper ribs, left extends to left pubic bone",dorsal?,C.T.,SK72E,,right natural,,L3 length Depth 3.05,,"right extends exross left elbow, left bents to pelvic apature",dorsal almost lateral left,contracted towards left,,1.cup....? (5052),,IIIA,DH15x7,IIB,bad,,female,DH15
young adult,both flexed in front of the chest and face,lateral left,C.T.,sk 53 E?,3.30,left pressed down,,"L3 length, Depth 3.30",,at forehead,lateral left culed up, contracted,,n/a,,?,DH15x8,IIb/II1,bad,,female,DH15
senile,right flexed in front of chest (both?),lateral left,C.T.,,2.85,,,"L3 Lenght, D.2.85",,right in front of face,lateral left,contracted,,n/a,,?,DH15x9,IIIa-IIb,bad,,female,DH15
assumed adult,flexed in front of chest,lateral left,C.T. ?,sk 58 w,2.80,,,L3 length D.2.80,,,lateral left,contracted,,n/a,,?,DH15x10,"IIb, III a",bad,,female,DH15
mature,,conrtacted,C.T. disturbed,,,,,depth 2.95,,,,,,"1.? globular jar rests beneath skull (5063) 2.grey goblet lies at fot (5064),3. ? cup or bowl in ? in close right knee (5065)",,IIB,DH15x11,IIb,verybad,,male,DH15
adult,"right flexed at side, left flexed across chest",dorsal,C.T.,SK...w,,expands nromal,,Depth 2.90,,"right bends left upper feumor, left cuved forward ?",lateral left,curls forwrads left,,"1. 2 copper bracelets at right arm (5066) 2. 2 copper bracelets at left arm (5067), 3. (5068) 4.(5069)",,IIIA-IIIB,DH15x12,IIIB,bad,,female,DH15
adult,right flexed at side,dorsal,C.T.,,,"cnatural, left flexed down",,"L3 lenght, depth 3.05",,right legs on right side skull,lateral left,contracted at belly,,"1. globular cup jar ?? 2.grey bowl rests at left ? broken...? 3. broken pot at left leg,..? and yello brown, ...? 4. grey bowl, corrugate? rests under body (5070).",,IIB- IIIA,DH15x13,IIb,bad,,female,DH15
adult,"right flexed at side, left extends below left pelvis",dorsal,C.T.,SK 65 e,,,,L3 depth 3.45,,,lateral left,contracted towards left,,n/a,,?,DH15x14,II,bad,,female,DH15
juvenile,both flexed in front of chest and face,lateral left,C.T.,,2.35,right pressed down,,"L2 ca., Depth 2.35",,flexed in front of forehead,lateral left,contracted,,"1.? jar,inside lines at neck, lines at right side, fragment",,?,DH16x1,IIIb,very bad,,male,DH16
juv.,left flexed in front of chest,lateral right ,C.T.,SK 68 E,2.75,,,depth 2.75,,,lateral right at ?,contracted,,"1. grey cup jar, at pelvis (5155)",,IIIB,DH16x2,III b,bad..?,,,DH16
inf II,right flexed in front of chest,lateral left,C.T. double skeletons with x4?,SK 62 w,1.55,left natural,,"L1-2, depth 1.55",,,lateral left,contracted,,n/a,,?,DH16x3,III,bad..?,,,DH16
infant II,,lateral right,C.T. double skeleton with x3?,sk 17 E,1.60,,,L1-2 Depth 1.60,,,lateral right,left bent across ...,,n/a,,?,DH16x4,III,?,,,DH16
infant I,,lateral right,C.T.,,2.30,,,L2 ca Depth 2.30,,,lateral right,contracted,,1. grey cup...? at knees and front of chest. )5156),,?,DH16x5,III,bad,,,DH16
infant I,,dorsal,C.T. partly disturbed,,,,,ca floor level Depth 1.55,,,occiptipal disturbed,,,1. cup on right pelvis vault (5168),,IIIB-IIIC1,CH63x1,III,very badly,,,CH63
infant II,"right extends slightly bent beside vertebrae cul., left extends slightly towards left pelvis",dorsal,C.T.,SK 72 E,,,,ca floors level Depth 1.60,,"right on right pelvis, left on left outer pelvis",lateral left,contracted lateral left,,n/a,,?,CH63x2,III,very bad,,,CH63
juv,"right flexes below face towards left apparently covering eyes, left flexes at right side",ventral,C.T.,,1.65,"normal, right side..towards vertebrae",,Depth 1.65,,"right extends upwards from wrsit, left extends beside face below left side ",ventral,culrl towards left,,"1.copper bead... (3578), 2. (3579), 3. (3580). 4. (3581). 5. (3582). 6. (3583).7. (3628), 8. (3584), 9. (3585). 10. (3586) 11. (3587) 12. (3588) 13. (3589) 14. (3590) 15. (3591) 16. (3592) 17. (3593) 18. (3594) 19. (3595) 20. (3595) 21. (3596). ",,IIIB-IIIC1,CH64x1,III c,bad,,male ,CH64
adult,"right bent at 90 across pelvis, left bent at 90 towards pelvis",dorsal,C.T.,SK ? E,,pressed down,,Depth 2.10,,"right bends right covers feumor, left curves and clutches near right elbow",lateral left,contracted towards left,,"1. (3697) in front of forehead lay a ? 2. (3598) 3. (3599) copper nail 4. (3600) 3 large copper rings/earrings at neck, armband 5. (3601)6. (3602)2 disks or plates near skull 7. (3603) 8. (3613) 9. (3612) 10. (3611) 11. (3610) 12. (3609) 13. (3608) 14. (3607) 15. (3606) 16. (3606) 17. (3605) 18. (3604) 19. (3614)green bowl between right ? 20. (4835) fragment of ... beneath 3614. 21. (3615) elaborate bowl behind feet 22. (4906) green .../? 23. (3616) 5 copper earrings ",33-23-122,IIIC1,CH64x2,IIIC,bad,,female,CH64
mature,"right vent across chest, left bent out towards left",dorsal,C.T.,sK ? E,,pressed down,,beloew corner of room? D2.10,,"right clutches above left levis, left below m?",on back,curls towards left,,"1. (3617) ?jar spout neck stained on left knee, 2. (dis) bowl incl. on left hand beside 33 3. (3618) 4 copper bracelet curls, open, around left lower arm near elbow",,IIIA-IIIB,CH64x3,III,bad,,male,CH64
adult,,a mes??,"disturbed, skull's bones ? up",,,,,below floors of rooms D.210,,,,,,1. (3619) grey cup stands at elbow,33-23-82,IIIB,CH64x4,III,bad,,male,CH64
infant II,"right disturbed, left flexed on chest",dorsal,C.T.,,,,,below floros of rooms D 2.00,,left extends in front of chin,"on back, turned right",curls upwards,,"1. (3620) green vase jar above right pelvis 2. (dis) goblet cup broken beside 3620 3. (3621) copper bracelet lies on left hand 4. (3622) tube beside left wrist 5. (3623) beads, lapis, carnilean beside left arm",,IIIB-IIIC1,CH64x5,IIIb,bad,,,CH64
adult,"left flexed in front of chest, riht flexed below le side toward chest",lateral right,C.T.,,1.70,pressed down,,on floors level of rooms D. 1.70,,both curved towards face,lateral right,contracted ca. 90,,n/a,33-23-152,?,CH64x6,III,fair,,male,CH64
senile,,,disturbed by x.6,,,,,ca. floor level of rooms D. 1.70,,,on back,,,n/a,,?,CH64x7,III,bad,,male,CH64
adult,left flexed forward,dorsal,"C.T. disturbed by x6, skull x7 probably head of this x",,,,,ca. floors level of floor D. 1.95,,,? lateral left,"right contracted, left flexed up",,1. (3624) grey cup stands in front of right upper arm,,IIIB-IIIC1,CH64x8,III,very bad,,male,CH64
adult,"right bends out, left bends towards right foot",dorsal ,C.T.,Sk 40 W,,right pressed down towards body,,ca. floor level of rooms D. 1.35,,left extends (chamber?) across right floow,lateral right,left contracted up right ..? up,,n/a,,?,CH64x9,III,very badly,,male,CH64
mature,,lateral left almost dorsal,disturbed skull above skull x9,,,,,below foors of room D. 1.35,,,,,,n/a,,?,CH64x10,III,very badly,,female,CH64
infant II,both extend toward left knee,lateral left,C.T.,,2.80,,,below floors of room D.2.80,,,lateral leftm turned back,contracted,,n/a,,?,CH64x11,III,very badly,,,CH64
inf II,"right bent toward pelvis, left bent forewart at 90",lateral right,"C.T. ? pigment of left arm, left ribs, pelvis, elbows, left feumor and both fet",,2.00,pressed down,,beloew floors of room D.2.00,,"right on scrotum, left disturbed",lateral right,contracted,,1. (3625) green vase jar lies beside left pelvis 2. (3626) copper ring bracelt around right right elbow 3. (3627) copper ? below around ..?,,IIIB,CH64x12,III,ver badly,,,CH64
mature,right bends on chest,lateral left,C.T.,Sk 58 W,0.98,,,D.95,,right below left knee,lateral left almost on back,contracted,,"1. (4896) grey vase jar rests at right hand 2. (4897) grey bowl lies above elbow 3. (4898) green bottle, 4. (4901) 5. (4902) 2 copper bracelets in 4898",,IIIB,CH64x15,IIIb,bad,,male,CH64
mature ,,disturbed,disturbed,,,,,D. 1.60,,,,,,1 (4899) broken pot near skull 2. (4900) copper bracelet near 4899,,IIIB,CH64x16,IIIb,very badly,,male,CH64
"infant I, young",disturbed,lateral right (upper) pevis dorsal,C.T.,Sk 33 W,2.15,,,D. 2.15,,,lateral right,contrated,,1. (4903) ??? crushed on breast? 2. (4904) base jar lies on pelvic aparture 3. (4905) small jug? lies at feet,,IIIB,CH64x17,IIIb,ver badly,,,CH64
inf I,right extends at side,dorsal,C.T.,,,,,above floors at base of wall D. 1.35,,,lateral right turned back,conntracted towards left,,1. (3816) grey cup below pelvis 2. (3817) bowl jar ,,IIIC,CH65x1,III,bad,,,CH65
adult,right extends below ? ledt bent across chest,dorsal,C.T.,SK 40 W,,"right slightly pressed down (disturbed), left normal but back turned out.",,above floor level at base of walls D.1.70,,"right clutches on vertebral column, left clutches   in hollow of right elbow",lateral right,contracted towards right,,1. (3818) copper earrings 3? at left wrist,,IIIB,CH65x2,III,very badly,,female,CH65
adult,"right extends at side, left bent side towards right pubic bone",dorsal,C.T. skull already ??,sk 73 W,,natural,,below base of top level D. 1.65,,"right extends towards feet, left extneds across right pubic bone",none,contracted up,,"1. dis, small bottle jar lies beside right side above left pevis 2. (3819) bowl rests beside feet",,IIIB-IIIC1,CH65x3,III,very bad,,female ,CH65
adult,"right bent 90 and found partly beloow chest, left flexed across belly?","lateral left, almsot unnatural?",C.T.,sk. 38 E,1.70,"right natural, left pressed down",,top level? (slope) D.1.70,,,ventral,contracted,,1. (3820) fine grey bowl jar w cylinder base at right side of skull and at right knee 2. (3821) small ? bowl is infront of right tibula,,IIIC1,CH65x4,III,good,,male,CH65
adult,,ventral?,disturbed colar? beside x6,,,,,lenght d. 1.50,,,,,,n/a,,?,CH65x5,III,bad,,female,CH65
inf I,"right extends at side, left extends at side",ventral,C.T.,sk  14 W,1.50,,,above floor level at base of wall D. 1.50,,,ventral,contracted towards right,,"1. (3822) ? cup besdide right ? 2. (3823) vase brown, small lies at right ?",,IIIC1,CH65x6,III,bad,,,CH65
juv,,,"disturbed, found w x7 and x9",,,,,ca floor levels D. 1.50,,,,,,n/a,,?,CH65x7,III,bad,,male,CH65
infant I,,,"disturbed, found w x7 and x9",,,,,ca floor levels D. 1.21,,,,,,n/a,,?,CH65x8,III,,,,CH65
juv,,,disturbed found w x7 and x8,,,,,ca floor levels D. 1.41,,,,,,n/a,,?,CH65x9,III,,,male,CH65
inf I,,lateral left side,disturbed,,,,,ca floor level corase brick row D.1.45,,,,,,n/a,,?,CH65x10,III,bad,,,CH65
inf I,,in vase,disturbed,,,,,ca floor level D.1.35,,,,,,"1. (3824) grey cup 
2. (dis) fragments of copper tubes in left side of skull loose.",,IIIB,CH65x11,III,bad,,,CH65
mature,right bent torards pelvis,lareral left,C.T.,,,,,top of level 2 wall D.145,,,lateral left,contracted,,n/a,,?,CH65x12,III,very badly,,female,CH65
inf I,,,badly disturbed,,,,,length? D.1.25,,,,,,n/a,,?,CH65x13,III,bad,,,CH65
adult,left extends across right leg towards left knees,lateral right ,C.T.,Sk 90? w,1.45,,,"ca floor level 1, D. !.45",,right curved at left knee,ventral,contracted,,n/a,33-23-153,?,CH65x14,III,bad,,female,CH65
adult,both flexed in front of chest,lateral right,C.T.,Sk 60 W,1.45,disturbed,,"ca floor level 1, d.1.45",,disturbed in front of right ? bone,lateral right,contracted,,1. fragments of cup in front of pelvis,,?,CH65x15,III,very badly,,male,CH65
adult young,"right bent across chesttowards left, left flexed at side",dorsal,C.T.,Sk 30 E,,,,ca floors level 1 or below D.1.60,,"left at forehead disturbed, right curved across left leg slightly",on base turned right,contracted towards left,,1. (3825) grey bowl rests beyond legs 2. (3826) grey bo. jar? stained on far lies beneath the bowl. 3. (dis) broken jar is at right proximal feumor,,IIIA-IIIB,CH65x16,III,bad,,male,CH65
adult young,flexed at chest,"dorsal, slightly lateral left",C.T.,,,,,"below level 2, D. 2.75",,both in front of face,?,contracted towards left,,n/a,,?,CH65x17,III prob,bad,,female,CH65
juv?,right flexed at side elbow slightly unatural? left disturbed,ventral,C.T.,,1.60,,,"ca floor level 1, or a little below D. 1.60",,right below chest,"on base turned left, removed? from body????",contrcated below body,,1. (?) lapis beads scattered in red above and around head 2. (3828) large oblique slightly bent bangle below contrcated left ? face and chest?,33-23-242,IIIB-IIIC1,CH65x19,III,bad,,,CH65
adult,"left flexed in front of chest, right bent forwards across left elbow",lateral left ,C.T.,,2.15,pressed down,,below top level D. 2.15,,right clutches left at ?,lateral left,contracted,,"1. (3827) copper earring at right arm 2. (?) copper ring bracelet right lower arm, 3. (1 biger, 2 samll) copper beads by right lower arm inside braceelt? 4. (disc) cup jar grey beside right pelvis 5. (disc) bottle pitcher grey with metal neckbase .????",,IIIB,CH65x20,IIIb,very badly,,male,CH65
adult,left flexed in front of and below chest,ventral ???,C.T.,Sk 60 w,1.40,,,beside 64. D. 1.40,,,ventral,contracted towards right,,1. (?) grey broken bowl ca 15. above left knee,,?,CH65x21,IIIb,bad,,male,CH65
adult?,extends either side,dorsal,C.T.,,,,,D.1.80,,"disturbed right beside right pelvis, left ca on or in pelvis aperture",on base turned right,contracted towards right,,1. (4915) grey vase jar metal? slightly rests at left lower arm 2. (4916) grey bowl rests at left foot,,IIIB,CH65x22,IIIb,bad,,male,CH65
jvn,disturbed,dorsal,C.T.,Sk 25 W,,,,D.1.85,,,dorsal ? turned towards right,left flexed up,,n/a,,?,CH65x23,IIIb,bad,,,CH65
mature,"right bent across lower side, left bent below left side",dorsal a little lateral left,C.T.,,,right pressed down,,ca floor level 1 D. 1.10,,"right curled across pelvic bone?, left extends besde left lower leg",lateral left ? forehead,contracted closely,,n/a,,?,CH74x1,III,bad,,male,CH74
inf I,,in vase?,disturbed,,,,,below level 1 floor or at floor level D.1.00,,,,,,n/a,,?,CH74x3,III,bad,,,CH74
inf I,disturbed,lateral left,C.T.,,1.30,,,level 1 floor or below D.1.30,,disturbed,lateral left,contracted,,n/a,,?,CH74x4,III,very bad,within x13 photograph of ch75,,CH74
adult,"right around body, left bent below ? towards left feumor",ventral,C.T.,,1.50,right slightly pressed down,,level 1 floors or below D.1.50 (? walls corner earth is grey ch75-75?),,"rigth extends towards center lower leaves?, left beyond left feumor pressed up",ventral,contracted towards right,,1. (4215) grey bowl jar is at left ?,33-23-83,IIIB-IIIC1,CH74x5,IIIb,"fair, skull is good",with x13 photo ch75,male,CH74
jvn,both flexed in front of chest,lateral right,C.T. ?,,1.15,natural,,near floor d.1.15,,both extend in front of upper chest,lateral right,contracted,,1. (4216) grey bowl on vertebrae or below 2. (4217) grey vase jar on vertebrae or lower feet  3. (4218),,IIIB,CH74x6,IIIb,fair,,male,CH74
inf I,,,disturbed,,,,,near floor D. 0.95,,,on ventral?,,,n/a,,?,CH74x7,III,bad,,,CH74
adult,both flexed in front of the chest and face,lateral left,C.T.,Sk 60 W,2.20,,,d. 2.20,,,lateral left mouth ajar,contracted,,1. ( dis) grey bowl cup jar lies between right and left feet's cap feumor 2. (4907) 2 copper earrings at right ?,,III,CH74x8,IIIb,bad,,female,CH74
inf I,,lateral left curled,C.T. partly disturbed,sk 55 W,2.20,,,D. 2.20,,,lateral left ,contracted,,n/a,,?,CH74x9,IIIb,bad,,,CH74
inf II,both flexed in front of chest,lateral left,C.T.,Sk 32 w,2.40,,,D. 2.40,,"right extends in front of face, flexed on earth, left disturbed",lateral left,,,1. (4908) grey cup lies in front of forehead 2. (4909) copper bracelet around right wrist bent 3. (4910) copper bracelet around left lower arm,,IIIA-IIIB,CH74x10,IIIb,bad,,,CH74
adult,left flexed at side,ventral,C.T.,Sk 80 W,2.60,,,D. 2.60,,left clunched in front of face,lowered left,contracted towards left,,1. (?) ? cup jar lies at left feet 2. (4911) 4 ? earrings near left ? 3. (dis) lapis bead in ref near?,,IIIA-IIIB,CH74x11,IIIb,bad,,female,CH74
adult young,"right flexed at side, left bent on chest","lateral right, uper dorsal",C.T.,sk 75 W,2.25,,,level D.2.25,,both at right side face,dorsal almost right,contracted,,"1. (4912) globular cup jar in front of pelvis 2. (4913) necklace carnilean, lapis,alabaster 3. (dis) copper earring fragment at right ?",,IIIB-IIIC1,CH74x12,IIIb,bad,,female,CH74
infI,,,disturbed,,,,,D.1.85,,,,,,n/a,,?,CH74x13,IIIb,bad,,,CH74
adult,extends on the side,"ventral, ? disturbed",C.T.,sk 45 W,1.85,,,D. 1.85,,,ventral turned right,contracted towards right,,1. (4914) grey beaker jar? at feumor 2.(dis) lapis lazuli bead in right side of skull? 3. (dis) copper fragment of rign beside left feumor  4. (dis) earring fragment,,IIIB-IIIC1,CH74x14,IIIb,bad,,female,CH74
jvn,both beside face,lateral right,C.T.,sk 35 E,2.00,,,D. 2.00,,,lateral right,contracted,,n/a,,?,CH74x15,IIIb,bad,,female,CH74
Inf II,,,disturbed,,,,,D. 1.85,,,,,,n/a,,?,CH74x16,IIIc?,bad,,,CH74
adult young,"right extends at side, left bent across abdomin towards elft elbow",dorsal,C.T.,,,"right beside feumor at?, left pressed down in ? of leg",,D. 2.40,,"right extends slightly curved beside right cap feumor, left bent down to right lower arm",at base ,contracted towards left,,1.(5201) grey vase jar lies beside left elbow,,IIIB-IIIC1,CH74x17,IIIb,bad,,male,CH74
inf II,both bent forward,lateral left,C.T.,,1.30,,,ca floor level 1 D. 1.30,,,lateral left,contracted,,n/a,,?,CH75x1,III,bad,,,CH75
"inf I, newly bord?",left flexed around skull,lateral left,C.T.,,1.40,,,ca floor level 1 D. 1.40,,,ventral,contracted,,1. (3833) vase cup rests beyond feet 2. (3834),,IIIB,CH75x2,IIIB,bad,,,CH75
adult advanced,,,"disturbed, skull",,,,,ca floor level 1 D. 1.30,,,right side,,,1. (3835) lapis beads below skull,,IIIB,CH75x3,III,bad,,female,CH75
inf I,"left flexed in front of face, right disturbed",lateral left,C.T.,,1.30,,,"ca floor level 1, D. 1.30",,left on face disturbed,lateral left,contracted slightly,,1. (3836) shallow grey bowl behind occupant's skull,,IIIB-IIIC1,CH75x4,III,very bad,,,CH75
adult,,,disturbed skull and vertebrae's,,,,,"below level 1 floor D. 1.95, found with x7",,,,,,1. (3838) grey cup jar lies near skull 2. (3839) lapis beads around vertebral column,,IIIB,CH75x5,III,very bad,,male,CH75
mature,"left cmtrcated towards pelvis, right extends to 3837.",lateral right,C.T.,sk 70 w,1.75,,,"below floor level 1, depth 1.75",,left contracted to pelvis,turned right face down,spread lower legs contracted to feurmors,,1.(3837) grey cup bowl near pelvis,,IIIB-IIIC1,CH75x6,III,very badbad,,female,CH75
adult advanced,,,"disturbed, skull",,,,,"below floor level 1, along w x4, depth 1.70",,,,,,1. (dis) frag grey cup at skull 2.(dis) grey cup jar below the frag cup jar w metal shine at neck band ,,IIIB,CH75x7,III,very bad,,female,CH75
adult advanced,"right exdents towards right of pelvis, left bent across chest towards right ?",dorsal,C.T.,sk ? E,,"right natural, left turned slightly towards right",,below level 1 floor D 1.55,,"right below right cap feumor and foot, left beside right shoulder",on base turned right,contracted towards right,,1. (3840) copper earring at left ? below left ?,33-23-154,III,CH75x8,III,bad,,male,CH75
mature,"right extends slightly curved towards pubic bone, left extends in front of body towards pubic bone",lateral left,C.T.,,1.95,right presed down,,"below floor level 1, D. 1.95",,right clutches in front of pelvis,lateral left,right contracted closely left 90,,"1. (3841) grey? bowl jar rim broken on right side of skull, 2. (3842) grey cup jar at forehead 3. (3843) copper bead bracelet on right wrist 4. (3844) copper ring bracelet on right wrist below the other one 5. (3845) copper tube below left wridst 6.(3846) lapis necklace 2 beads",,IIIB,CH75x9,III,bad,,male,CH75
mature,extends either side,dorsal,C.T.,,,pressed down,,"ca floor level 1, d. 1.40",,"right on right pelvic bone, reaches in towards pelvic aparture, left extends beside left cap feumor",on base slightly towards left,contracted towards right,,1. (3847) grey bowl jar lies on right oot 2. (3848) grey bowl broken slightly rests on right elbow 3. (3849) grey jar 4. (3850) copper bracelet? ,33-23-84,IIIB,CH75x10,IIIb,very bad,with x13 photo,male,CH75
adult,"right extends actoss chest towards left, left exntends at side, slightly out",dorsal,C.T.,,,disturbe,,ca floor level 1 D. 1.40,,"right curved down, left extended",lateral left,contracted towards right,,1. (3851) copper earring small at left ear? 2. (3852) copper earring large below right ear?,,?,CH75x11,"IIIB, IIIC1",bad,photo with x13,female,CH75
mature,extend in either side,dorsal,C.T.,,,"right slightly pressed down, left twsitedback towards outside",,"ca floor level 1, D. 1.40",,"right bent towards right pubic bone, left extneds across left cap feumor","dorsal, slghtly on face?",contracted towards right,,"1. (dis) frag of grey bottle jar lies below right leg slightly left of vertebrae column 2.(dis) frag grey cup jar rests on right elbow 3. (dis.) copper bracelet 3, around right wrist 4. (dis) 2 wide earring at right ? on left side? ",,IIIB,CH75x12,III,bad,,male,CH75
adult,right exntends slightly bent along side left bent towards pubic bone,"dorsal, along ?",C.T.,,,right natural,,"ca floor level 1, D 1.45",,"left curved around right pelvis covering right cap feumor, left extends across left on pub into pubic aparture","dorsal, inclined forward right side?",contracted toeards left,,"1. (3854) copper seapr head on right knee 2. (copper spear head on right kne below the first one 3. (3856) coppe spear head on right knee below the second one 4. (3857) grey bowl jar lies beside right lower leg 5. (3858) grey bowl in bwteen skull and right knee 6. (3859) grey vase jar lies in front of ? 6. (3860) bead at left wrist 7. (3861) 8. (3862) two copper tubes , 8. (3863)",,IIIB,CH75x13,III,"good, skull fair?",,male,CH75
ault,disturbed,lateral right,C.T.,,2.95,,,"below floor level 1?, D. 2.95",,bend at chest,lateral right,cintracted closely,,1. (3864) grey cup stands at foot and pelvic apt. 2. (3865) broken grey cup beind pevis,,IIIB,CH75x14,III,?,,female,CH75
