ID,HOBBS_N,KNOWN AS,PLACE,REGION,COUNTRY,LAT,LONG,Loc_Q,D_TPQ,START_D,START_Q,END_D,END_Q,DATE_EP,DATE_LP,YEAR_DISC_START,YEAR_DISC_END,YEAR_DISC_Q,YEAR_DISC_LITERAL,EGW_MIN,EGW_MAX,EGW_Q,AV_Literal,AV_DENOM1,AV_COUNT1,AV_COUNT_Q1,AV_DENOM2,AV_COUNT2,AV_COUNT_Q2,AV_DENOM3,AV_COUNT3,AV_COUNT_Q3,AV_COUNT_TOT,AV_COUNT_TOTAL_Q,AV_C_WT_MIN,AV_C_WT_MAX,AV_C_WT_Q,AR_LITERAL,AR_DENOM1,AR_COINS1,AR_COINS_Q1,AR_DENOM2,AR_COINS2,AR_COINS_Q2,AR_DENOM3,AR_COINS3,AR_COINS_Q3,AR_COUNT_TOT,AR_COUNT_TOTAL_Q,AR_C_WT_MIN,AR_C_WT_MAX,AR_C_WT_Q,AE_COINS,NON_C_MIN,NON_C_MAX,NON_C_Q,METAL_MIN,METAL_MAX,NON_COIN,COMMENT,DISC_CIRC,DISPOSITION,REFERENCE
727,271,Bušetina,Bušetina,Virovitica,Croatia,45.899414,17.358197,,238,81,,260,,81/96,238/60,1873,1873,,,7.1,8.9, ,A: 1,A,1,,,,,,,,1,,4.4,4.4,ca.,"D, a: 19, 10",a,10,,D,19,,,,,29,,40.6,67, ,,,,,45,71.4,,"Domitian to Maximinus I (denarii), Gordian III to Valerian I (antoniniani), AV Valerian I",,,"Gazdac 2002, 503-4"
1092,140,Baden-Baden,Baden-Baden,,Germany,48.762778,8.240833,,222,,,238,,Repub.,222/38,,,,,60.1,141.8,ca.,A: 1,A,1,,,,,,,,1,,7.2,7.2, ,"D, a: 561, 3",a,3,,D,561,,,,,564,,794.7,2021.6, ,,,,,801.9,2028.8,,aureus period 3,,,"FMRD II/2, 2196; Brenot & Loriot 1992, 265, number 5; Guest 1994"
1113,1071,Authieux II,Authieux,Eure,France,48.898525,1.233807,,275,193,,296,,193/222,275/96,1984,1984,,,18.6,193.3,ca. +,A: 1,A,1,,,,,,,,1,,5.04,5.04, ,"D, a: 6, 1084",a,1084,,D,6,,,,,1090,,204,2827.6, ,,209.04,2832.64,,418.08,5665.28,"1. AV coin. 2. AR ring: large finger ring with bezel inscribed ‘X[   ]/AVGVP/VT(E or F)P’. Diameter: 31mm. No weight given. 3. AR ring: small with rectangular bezel. Diameter: 19mm. No weight given. 4. AR ring: octagonal, no bezel, with geometric decoration. Diameter: 19mm. No weight given. 5. AR coins. AV: 5.04g AR: 204.0-2827.6g (coins)",Aureus struck in the name of Diocletian. Severus to Galerius/Maximian (Terminus post quem ca. 294). Hollard does not provide weights of rings. AR coins from Severus to the early Tetrarchy.,"found wrapped in a piece of coarse cloth cut into strips, all contained within a broken ceramic vessel",,"Hollard 1989; Brenot & Loriot 1992, 271, number 52"
925,709,La Chapelle-Launay,La Chapelle-Launay,Loire-Atlantique,France,47.372339,-1.971835,,260,98,,275,,98/117,260/75,1906,1906,,,5.5,5.5,ca. +,A: 1,A,1,,,,,,,,1,,5.51,5.51, ,"D, a: c.3500 (39, 2651)",a,,,D,,,,,,3500,ca.,0,0,ca.,,,,+,5.51,5.51,Also includes: AV ring with the inscription 'RIC' in the hollow of the bezel setting. weight: not given Also 7 AR spoons. weights: not given,Aureus weight actual.  denarii: Trajan to Lucius Verus; antoniniani: Philip to Tetrici and imitations.,,,"TAF III, 82, number 4; Brenot & Loriot 1992, 268, number 26; Guest 1994"
842,177,Klagenfurt I,Klagenfurt,Kärnten,Austria,46.616667,14.3,,222,54,,238,,54/68,222/38,,,,,14.4,22.1,ca.,A: 1,A,1,,,,,,,,1,,7.75,7.75, ,"D, a?: ? (69)",a,,,D,,,,,,69,?,99.3,215.2, ,,,,,107.05,222.95,,One aureus of Vespasian in a hoard of silver from Nero to Severus Alexander,,,"Brenot & Loriot 1992, 266, number 8; Guest 1994"
1486,130,Waregem,Waregem,,Belgium,50.883333,3.416667,,193,161,,222,,161/80,193/222,1854,1854,,,8.2,8.7, ,A: 1,A,1,,,,,,,,1,,7.1,7.2, ,D: 9,D,9,,,,,,,,9,,17.2,22.6, ,1,,,,24.3,29.8,,1 dupondii,found with pot,,"Thirion 1967, number 324; Guest 1994"
712,1037,Virovitica,Virovitica,Hrvatska,Croatia,45.831646,17.385542,,260,69,,275,,69/96,260/75,,,,,7.9,12.9,ca.,A: 1+,A,1,+,,,,,,,1,+,7.2,7.2,ca.,"D, a: 30",a,,,D,,,,,,30,,10.8,85.8, ,,,,+,18,93,Also includes AV/AR jewellery and one cameo,,,,"Mirnik 1981, number 159; Brenot & Loriot 1992, 270, number 40; Guest 1994"
953,219,Waltenhoffen,Waltenhoffen,"Martinszell, Bayern",Germany,47.664458,10.30695,,222,68,,238,,68/69,222/38,1862,1862,,,111.6,175.4,ca.,A: 10,A,10,,,,,,,,10,,64.8,71.2, ,"D, a?: c.500",a,,,D,,,,,,500,ca,702.7,1564.3,ca.,,,,,767.5,1635.5,,1 aureus of Galba (earliest coin). Latest AR is Severus Alexander,,,"FMRD I/7, 7194; Brenot & Loriot 1992, 265, number 7"
1504,179,Köln II,Köln (Gertrudenstraße),Nordrhein-Westfallen,Germany,50.957836,6.921102,,222,41,,238,,41/54,222/38,1909,1909,,,2286.8,4551.4,ca.,A: 100-150 (m.125),A,125,ca.,,,,,,,125,ca.,888.1,961.9, ,"D, a: c.15,000",a,,,D,,,,,,15000,ca.,21001.7,53847.8,ca.,,,,,21889.8,54809.7,,"60 aurei identified; 4278 denarii identified; 142 antoniniani. Aurei periods 2-8, 10; denarii 3-11. FMRD checked; no more details available",,,"FMRD, VI, 1, 1, 1004, p.254; Brenot & Loriot 1992, 266, 13; Guest 1994"
1060,118,Troyes I,Troyes,Aube,France,48.2997,4.0792,,193,54,,222,,54/68,193/222,1726,1726,,,724.3,734.3, ,A: 102,A,102,,,,,,,,102,,724.3,734.3, ,,,,,,,,,,,,,0,0, ,,,,,724.3,734.3,,from Nero (post reform) to Severus. Terminus post quem ca. 193.,,,"Blanchet 1900, number 154"
672,464,Osijek,Osijek,Hrvatska,Croatia,45.555486,18.696115,,238,193,,260,,193/222,238/60,,,,,3.4,5,ca.,A: 11,A,11,,,,,,,,11,,51.1,75.4, ,,,,,,,,,,,,,,,,,,,+,51.1,75.4,also 1 ring & 1 small AV ingot,AR coins of Gordian III (latest);,,,"Mirnik 1981, number  199; Brenot & Loriot 1992, 266, number 15"
800,871,Mâcon (France),Mâcon,Saône-et-Loire,France,46.306916,4.828801,,260,100,,275,,100/250,260/75,1764,1764,,,162.9,162.9,+,A: 11+,A,11,+,,,,,,,11,+,48.4,48.4,+,,,,,,,,,,,,,0,0, ,,1739.18,1739.18,+,1787.58,1787.58,"1. AV chain: set with emeralds and pearls. weight not established. 2-3. 2 AV/AR vessels: 'patères'. weights not established. 4. AR statuette: Jupiter. H.: 6.5cm. weight: 104.51g. Walters number27. 5. AR statuette: Diana. H.: 7.7cm. weight: 137.35g. Walters number28. 6. AR statuette: Mercury. H.: 11.2cm. weight: 336.0g. Walters number29. 7. AR statuette: Mercury. H.: 6.8cm. weight: 70.0g. Walters number30. 8. AR statuette: Mercury. H.: 6.5cm. weight: 71.57g. Walters number31. 9. AR statuette: Mercury. H.: 8cm. weight: 150.9g. Walters number32. 10. AR statuette: Tyche (?) with double cornucopia and busts of Apollo and Artemis, and on her shoulders the busts of the Dioscuri and seven busts representing days of the week. H.: 14cm. weight: 213.76g. Walters number33. 11. AR statuette: Genius. H.: 14cm. weight: 104.69g. Walters number34. 12. AR statuette: Zeus. H.: 7.2cm. weight: not given. Walters number 35. The style of the piece suggests its placing within the find. 13-19. AR statuettes: additional statuettes in private hands. 20-24. 5 pedestals: presumably for the statues. 25. Goat: 'chèvre'. (?) 26. Cock. 27. Plaque: with a representation of Justice (?). 28. Serpent: about 18 inches ('pouces') in length. 29. Cup: decorated with small figures; Thetis and Pele? 30. AR plate: chased decoration on sides and decorated with precious stones in the interior. The interior of the plate is decorated with a series of medallions with geometric designs and a central medallions showing a togate figure holding an object (some kind of ring?). Diameter: 26cm. weight: 500g. 31. AV/AR coins: 30,000 AV/AR denarii from the Republic to Gallienus; also Greek provincial. 11 AV aurei are known. AV: 50.4g+ AR : 1688.78g+",Most of the find was melted down. The exact content of the deposit is obviously hard to establish.,"found near a worn track in the centre of a rampart ('près du glacis du chemin couvert viv-a-vis le milieu du rempart où est la promenade de la ville'). The actual find was made amongst marble debris which exhibited signs of fire damage, by a vinegrower at a depth of ca. 8-9ft.","Depart of Greek and Roman Antiquities, The British Museum","Blanchet 1900, 284; Dalton 1901, n. 311; Walters 1921, 27-34, 35?; Baratte 1984, 185-96, numbers 133-41; Brenot & Loriot 1992, 268, number 29; Painter forthcoming [Q]"
1061,119,Troyes II,Troyes,Aube,France,48.2997,4.0792,,193,98,,222,,98/117,193/222,,,,,781.1,791.9, ,A: 110 (22),A,110,,,,,,,,110,,781.1,791.9, ,,,,,,,,,,,,,0,0, ,,,,,781.1,791.9,,Trajan to Crispina. Terminus post quem ca. 193,,,"Le Gentilhomme 1943, 28"
967,112,Szönyi Tanyák IV,Szönyi Tanyák (Brigetio),Komaron,Hungary,47.735276,18.169111,,193,54,,222,,54/68,193/222,1959,1959,,,851.6,851.6, ,A: 118 (114),A,118,ca.,,,,,,,118,ca.,851.55,851.55, ,,,,,,,,,,,,,0,0, ,,,,,851.55,851.55,,weights taken from original report in comparison with RIC types listed.,found south of the former legionary camp. Possibly hidden in an AE vessel wrapped in textile,,"Bíró-Sey 1977, 127-30; Guest 1994; Gazdac 2002, 499"
803,1198,Petrijanec I,Petrijanec,Varazdin,Croatia,46.345576,16.228202,,275,117,,296,,117/38,275/96,1805,1805,,,656.8,912.4,+,A: 120,A,120,,,,,,,,120,,607,862.1, ,,,,,,,,,,,,,0,0, ,,,,+,607,862.1,"bracelets, various other jewellery items; no more details given","‘116 aurei Hadrian-Diocletian (including one mult. of Carus), two bracelets mounted with four aurei (Antoninus to Claudius II) and seven aurei (Hadrian to Caracalla) mounted, and various other jewellery items’ Brenot & Loriot 1992, 272. No more details given by Mirnik. weight estimate for the seven aurei of Hadrian to Caracalla: 49.8-50.3g.",,,"Mirnik 1981, number 205; Brenot & Loriot 1992, 272, number 61; Guest 1994"
395,20,Le Cannet,Le Cannet,Var,France,43.531709,6.713735,,193,69,,222,,69/79,193/222,1938,1938,,,859.2,871.1, ,A: 121,A,121,,,,,,,,121,,859.2,871.1, ,,,,,,,,,,,,,0,0, ,,,,,859.2,871.1,,Vespasian to Plautilla. Terminus post quem ca. 211.,,,"Le Gentilhomme 1943, 28"
785,794,Geneva II,Geneva,,Switzerland,46.198392,6.142296,,260,54,,275,,54/68,260/75,,,,,74.3,105.9, ,A: 14,A,14,,,,,,,,14,,74.3,105.9, ,,,,,,,,,,,,,0,0, ,,,,,74.3,105.9,,latest coin Aurelian. Only part of a hoard,,,"BSFN 1980, 646, number 8; Brenot & Loriot 1992, 267, number 20"
770,966,Samoëns,Samoëns,Haute-Savoie,France,46.084043,6.728168,,260,68,,275,,68/9,260/75,1841,1841,,,73.8,98.7,+,A: 14+,A,14,+,,,,,,,14,+,73.8,98.7,+,,,,,,,,,,,,,0,0, ,,,,,73.8,98.7,,Galba to Aurelian. Terminus post quem ca. 273,,,"Blanchet 1900, number 182"
841,127,Villach,Villach,,Austria,46.614722,13.846111,,193,54,,222,,54/68,193/222,1955,1955,,,1139.9,1139.9, ,A: 162,A,162,,,,,,,,162,,1139.17,1139.17, ,D: 4,D,4,,,,,,,,4,,10.9,10.9, ,,,,,1150.07,1150.07,,AV weights actual; the weights of coins for which only the types are known have been estimated on the basis of similar types in the hoard for which weights are available. Denarii precious metal estimate based on actual coin weights in comparison to Walker's analyses of silver content.,,,FMRÖ 11/3: B1; Guest 1994
107,970,Santa Pola,Santa Pola,Alicante,Spain,38.192358,-0.555182,,260,253,,275,,253/68,260/75,,,,,10.2,10.2, ,A: 2,A,2,,,,,,,,2,,10.2,10.2, ,,,,,,,,,,,,,0,0, ,,,,,10.2,10.2,,possibly separate finds,,,"Bost et al. 1983, 167, number 146; Brenot & Loriot 1992, 267, number 16"
702,1265,Moissat,Moissat,Puy-de-Dôm,France,45.775622,3.353301,,296,,,318,,,296/318,,,,,10.6,10.6,ca.,A: 2,A,2,,,,,,,,2,,10.4,10.4,ca.,arg?: ?,Arg,,,,,,,,,,,3,3,ca. +,,,,,13.4,13.4,,aurei include 1 Tetricus II; AR from Diocletian to Maximinus Hercules,,,"Blanchet 1900, 557; TAF VII, number 6; Brenot & Loriot 1992, 271, number 50"
1343,1199,Philippeville,Philippeville,"Surice, Namur",Belgium,50.18249,4.70017,,275,138,,296,,138/61,275/96,1850,1850,,,10.3,10.3,ca. +,A: 2,A,2,,,,,,,,2,,10.1,10.1, ,D: 1,D,1,,,,,,,,1,,2.75,2.75, ,,,,,12.85,12.85,,Two aurei of Probus; also one denarius of Antoninus Pius mounted in large AR ring.,,,"RBN 6 (1850), 346-7; Thirion 1967, number 286; Brenot & Loriot 1992, 270, number 45"
1173,202,Schrotzburg,Schrotzburg,"Bohlingen, Südbaren",Germany,49.34545,9.98142,,222,69,,238,,69/96,222/38,1853,1856,,1853-56,15.2,15.7, ,A: 2,A,2,,,,,,,,2,,14.4,14.4, ,D: 7,D,7,,,,,,,,7,,11.4,19.1, ,1,,,,25.8,33.5,,1 dupondii Aurei periods 4&5,,,FMRD II/2: 2122; Guest 1994
875,649,Autun,Autun,Saône-et-Loire,France,46.950914,4.301565,,260,,,275,,,260/75,,,,,10.2.,10.2.,+,A: 2+,A,2,+,,,,,,,2,+,10.2,10.2,+,,,,,,,,,,,,,0,0, ,,10.2,10.2,+,20.4,20.4,"1. AR vessels: one or more plates, some vases or cups, and at least three spoons (there are thought to have been many more). 2. AV/AR coins. 3. Jewellery: including at least two bracelets, one set with an aureus of Elagabalus, 1 pendant with an antoninianus of Otacilia Severa set in an AV mount; also many rings. Weights not given. AV: 10.2g+ AR: ?",included at least two aurei of Philip and Gallienus.,found in a large lead chest in the town cemetry,lost,"BSFN 1985, 603; Brenot & Loriot 1992, 268, number 30"
1083,909,Naix-aux-Forges,,"Ligny, Meuse",France,48.637042,5.376804,,260,,?,275,,,260/75,1809,1809,,,273,273,+,A: 2+,A,2,+,,,,,,,2,+,8.8,8.8,+,,,,,,,,,,,,,0,0, ,,273,273,+,281.8,281.8,1-9. 9 AV necklaces: one includes pendants mounted with 4 aurei from Hadrian to Separt Severus; another one aureus of Antoninus Pius on a pendant; one with with an antoninianus of Otacilla Severa in an AV mount. weight estimate (AV): 36.0g+. 10-11. AV bracelets: at least two. weights: not established. 12-16. 5 AV rings. weights: not established. 17-22: 6 AR rings. weights: not established. 23. AR ingot. weight: not established. 24. AV piece: weighing about 8 ounces (ca. 226.8g). 25. AR plates: one or more; also some vases; and at least three spoons. weights: not established. 26. ca. 1800 AV/AR coins: from Septimius Severus to Gallienus. Included at least 2 aurei of Philip & Gallienus. weight estimate: 10.2g+. AV: 273.0g+ AR: ?,,found in the remains of a wooden chest bound with strips of copper,,"Blanchet 1900, 102; Brenot & Loriot 1992, 269, number 37; Wiegels 2003, number 49"
937,1086,Bregenz,Bregenz,Voralberg,Austria,47.50075,9.74231,,275,,?,296,,-,275/96,,,,,10.1,10.1,+,A: 2+,A,2,+,,,,,,,2,+,10.1,10.1,+,,,,,,,,,,,,,0,0, ,,,,,10.1,10.1,,aurei of Probus and Numerian Caesar; probably only part of a larger deposit,,,"Loriot 1988, 76; Brenot & Loriot 1992, 270, number 46"
909,1277,Schmerikon,Schmerikon,St. Gallen,Switzerland,47.2259,8.9456,,296,275,?,318,,275/96?,296/318,,,,,10.3,10.3,ca. +,A: 2+?,A,2,ca. +,,,,,,,2,ca. +,10.3,10.3,ca. +,,,,,,,,,,,,,0,0, ,,,,,10.3,10.3,,2 of Carinus & Diocletian; only part of a larger hoard,,,"Brenot & Loriot 1992, 272, number 56"
1011,290,Coinces,Coinces,Loiret,France,48.011381,1.742304,,238,138,,260,,138/61,238/60,,,,,16,18.8,+,A: 3,A,3,,,,,,,,3,,16,18.8, ,,,,,,,,,,,,,0,0, ,,,,+,16,18.8,"all mounted in pendant necklace; also 1 gallo-belgic (probably intrusive), and jewellery",,,,"Brenot & Loriot 1992, 266, number 10"
